Station ID,Station Name Chinese,Station Name English,Duplicate IDS,Station Names missing,Latitude,Longitude,Lines
1244,爱国路,Aiguo Road,,,31.279684,121.552679,12
842,鞍山新村,Anshan Xincun,,Anshan Xincun,31.273275,121.509586,8
1117,安亭,Anting,,Anting,31.288511,121.162097,11
1133,白银路,Baiyin Road,,Baiyin Road,31.345276,121.245426,11
136,宝安公路,Bao'an Highway,,Bao'an Highway,31.369561,121.430965,1
324,宝山路,Baoshan Road,324|411,Baoshan Road,31.251564,121.476367,3|4
411,宝山路,Baoshan Road,324|411,Baoshan Road,31.251564,121.476367,3|4
336,宝杨路,Baoyang Road,,Baoyang Road,31.395319,121.479593,3
507,北桥,Beiqiao,,Beiqiao,31.045038,121.410113,5
238,北新泾,Beixinjing,,Beixinjing,31.216801,121.373538,2
635,北洋泾路,Beiyangjing Road,,Beiyangjing Road,31.239126,121.552298,6
639,博兴路,Boxing Road,,Boxing Road,31.263506,121.586684,6
116,漕宝路,Caobao Road,,Caobao Road,31.168209,121.434972,1
931,漕河泾开发区,Caohejing Hi-Tech Park,,Caohejing Hi-Tech Park,31.170634,121.397826,9
314,漕溪路,Caoxi Road,,Caoxi Road,31.176736,121.438381,3
320,曹杨路,Caoyang Road,320|407|1145,Caoyang Road,31.239263,121.417684,3|4|11
407,曹杨路,Caoyang Road,320|407|1145,Caoyang Road,31.239263,121.417684,3|4|11
1145,曹杨路,Caoyang Road,320|407|1145,Caoyang Road,31.239263,121.417684,3|4|11
249,世纪大道,Century Avenue,249|417|632|942,Century Avenue,31.228978,121.526788,2|4|6|9
417,世纪大道,Century Avenue,249|417|632|942,Century Avenue,31.228978,121.526788,2|4|6|9
632,世纪大道,Century Avenue,249|417|632|942,Century Avenue,31.228978,121.526788,2|4|6|9
942,世纪大道,Century Avenue,249|417|632|942,Century Avenue,31.228978,121.526788,2|4|6|9
251,世纪公园,Century Park,,Century Park,31.209969,121.550774,2
738,昌平路,Changping Road,,Changping Road,31.233876,121.442531,7
745,长清路,Changqing Road,,Changqing Road,31.174619,121.486123,7
737,长寿路,Changshou Road,737|1330,Changshou Road,31.240074,121.437854,7
1330,长寿路,Changshou Road,737|1330,Changshou Road,31.240074,121.437854,7
120,常熟路,Changshu Road,120|740,Changshu Road,31.213342,121.451075,1|7
740,常熟路,Changshu Road,120|740,Changshu Road,31.213342,121.451075,1|7
730,场中路,Changzhong Road,,Changzhong Road,31.303975,121.413754,7
828,成山路,Chengshan Road,,Chengshan Road,31.170687,121.496232,8
327,赤峰路,Chifeng Road,,Chifeng Road,31.281324,121.482497,3
830,中华艺术宫,China Art Museum,,China Art Museum,31.185411,121.493616,8
259,川沙,Chuansha,,Chuansha,31.186701,121.698078,2
502,春申路,Chunshen Road,,Chunshen Road,31.098129,121.385645,5
328,大柏树,Dabaishu,,Dabaishu,31.289552,121.483284,3
731,大场镇,Dachang Town,,Dachang Town,31.293317,121.416545,7
1326,大渡河路,Daduhe Road,,,31.231875,121.393404,13
